,class,text
97,5,Redneck #14 https://t.co/HNozCOdIBK
99,5,This white bitch sitting in front of me is starring at me like she ain’t seen never seen a Muslim nigger in her life https://t.co/KZb6bgTlHd
102,5,@realDonaldTrump Enjoy your weekend you cunt. https://t.co/401vzvsIVl
104,5,Nigga really murdered Nipsey Hussle https://t.co/4XucuiKgLs
108,16,"And if I die on the Russian front, Just burry me in some Russian cunt. https://t.co/jeaVNRyPMR"
113,16,@karashaught @MelanieScrofano me also tweeting about me wanted her to call you a cunt https://t.co/nUECTouEL5
115,5,i hate this nigga man https://t.co/vRlcZTs2wm
124,16,"@rickygervais A direct quote from @realDonaldTrump  ""A good goat with a gun will stop a cunt with a gun"" https://t.co/BvZdpvrEkJ"
134,16,Click here to watch it: https://t.co/jV0wAUXmFA Latina MILF babe Ariella Ferrera gets a stiff dick in her cunt... https://t.co/QSpb2fSq3E
136,16,Acceptable shoes for Archie’s school. So they want me to send my lad to school@looking like a twat ✊🏻💦💦s https://t.co/Ic5mvqeYUM
137,6,Sold! This vid is on fire! Worship BBC With Me Faggot https://t.co/GKea1Wvb3s #MVSales #ManyVids https://t.co/sPfTAHbOzV
138,16,New vid: Cunt Munching Milfs #02 https://t.co/xVmuUHUzVP https://t.co/4ilGdigWTj
140,5,Just another day in the trailer park. Shout out to @MountainDew for being a part of our redneck shenanigans https://t.co/9T8Rxrbhl7
141,5,"Raheem Sterling is a diving cunt, have to cheat to equalise against Swansea. Real top players don’t need to cheat https://t.co/eKVL1jIncq"
145,5,@the_moviebob Not to you but those people who complain about SJW in a game who can kill kkk members https://t.co/L9staBBGxZ
158,5,Birdland – Rock ‘n’ Roll Nigger https://t.co/XnLIFf06oa https://t.co/P7trJiRjJ0
166,5,@H2F6SI you aint gon do shit nigga https://t.co/ZrThAcryCt
175,5,I love my nigga John Hughes man https://t.co/T7SDl2rhob
177,16,swear I’m sitting next to the noisiest cunt in the library https://t.co/x096mp37Bp
184,5,@ILoveBeinBlack You better back up off my momma nigger https://t.co/kUbIhWPvB7
188,5,#podcast #comedy #talkshow #hillbilly https://t.co/Rbs1vCEo0P.   Something different for your ear holes. https://t.co/IosYZVNZ0i
196,5,Y’all gotta see this! My nigga eating peas. Freakin peassssss for a snack https://t.co/64ZT9kHCZW
197,16,someone please #cumtribute me #cum #tribute #slut #cumslut #teen #whore #bitch #cunt https://t.co/HGvosNrPuo
199,16,Censored BABE★COCK (Sissy-Safe) #babecock #cock #sissy #faggot #batecocktobabecock #censored #sissysafe https://t.co/RlKdzWZXCR
201,5,@HuffPost Will wonders never cease? Playing the race AND the woman card? Sad. https://t.co/i0tfN5UwpW
209,5,Fuck you nigger Yeah I did it now martyr me https://t.co/EXLSPeh4wM
216,5,Snake Rat Nigga https://t.co/wSsNHmfsKZ
218,5,The heavy rains in Texas made my back all wet. I guess you can say I have a wetback now https://t.co/f6A1hjJN0b
219,5,@seeyainakiaa @daphxoxx @LindseyPressa Tower of tower nigga????? 😂😂😂😂😂 BYEEEEEEEEEEEEE https://t.co/SdqWmMFzMo
223,16,Petite Violet is fucking her tiny twat by ChickPass Amateurs https://t.co/rUjGDlelMQ Find it on #ManyVids! https://t.co/1THh7noB7q
225,20,Everyone take a moment to remember that Islam is a child rape death cult. #BanIslam https://t.co/hXnuHzoxpe
228,5,@BigDameHoe_ Careful for what you wish for nigger https://t.co/Ho3LwHCeCZ
229,5,@JJVLFC @KitOConnell Ohh this nigga is definitely a Nazi mate https://t.co/wQjQXfpqkb
230,6,@jdforward @SmirkCmdr9000 Tell the whole story faggot https://t.co/NnGnrX5Bnd
233,5,@itsLeeGatsby Black Panther was struggling against a nigga in his mid 20s dealing with teen angst https://t.co/qL6uErV6n1
243,5,CAN GIVE A FUCK ABOUT A NIGGA CAUSE THEY DONT KNOW HOW TO ACT. https://t.co/Tu0Y97MkOX
245,5,Triggered Redneck In Texas Yells At Couple Protesting A Confederate Monument! https://t.co/6KeKJraS9B https://t.co/3EqMN0xcjH
247,6,my mom just tried to call me a white mans whore when I’m a faggot https://t.co/sBtgM7nlqM
250,5,"what the fuck is wrong with this nigga, get off the car foo u don’t drive https://t.co/dtFCXbxVpO"
254,5,@aquarieaux With no meat NIGGA?! https://t.co/LTRsoLq9IN
255,5,#NOWPLAYING B.o.B - NAGA - Good Nigger Sticker Circle Radio https://t.co/WTkAvXIryq https://t.co/xuRf4zzA83
256,5,omg anon should i never asked me i miss my ex cos i haven't thought of that nigga since how long?! i'm so emo now https://t.co/Q6O4MZkJjg
257,5,"""THIS NIGGA EATIN' BEANS!!!!!!!"" https://t.co/RfdD9vJIRI"
258,5,I started looking for a side nigga when our relationship was 3 months old #ThingsMyEXdidntKnowAboutME https://t.co/0gYtvKtbTM
264,16,Philly Philly come out and see a nigga 😎 https://t.co/lGaEqBRUhL
268,5,Open the pompa my nigga it’s summa time https://t.co/rkdlkrsFn7
271,6,@pewdiepie How can someone be such a huge faggot as you? https://t.co/67O9usZYHF
272,5,BROOOO THIS NIGGA IS NUTS 🤣 https://t.co/UN5UAjMkFM
273,5,my lil nigga handsome cuhz. https://t.co/97pKoql5ml
274,16,mon en @ ryan jack hun cunt https://t.co/i9YioVFp7K
282,5,woman is the nigger of the world https://t.co/eGiMSaZlhN
283,6,how can a straight woman radiate so much dyke energy omfg i want her to belt me https://t.co/oEvMz4UKDe
284,5,"SKIP REALLY CALLED ME WHITE TRASH ASBDKBDKWHEOFNSKDJD THIS IS SO HUMILIATING, IVE FAILED YALL NIGGER NATION https://t.co/ZUwoOQU10A"
287,5,Race card. https://t.co/HOSN8fnEcX
288,5,me: it’s my turn to play Animal Crossing my brother: HAHAHA FUCK NAH NIGGA IM PLAYIN XBOX https://t.co/MTF8ZRHSgs
296,5,@treajusthatdope This nigga wildin on the tl............ https://t.co/UwBrpMCSqc
303,5,Niggas work out all day just to get shot by this nigga 😂 https://t.co/u5fRUGnUop
304,5,@gtconway3d @The_Lady_Red George. THE POTUS IS A MF WHITE TRASH WEASEL   DONT STUP TO HIS GITTER IQ LEVEL https://t.co/Sdq2mMTess
312,6,this dyke is following me https://t.co/g6VXRZ2z8Y
314,6,@eeeeeeeeeeekkk Me:   Mental Illness: shut up faggot https://t.co/RyJjOm2KQb
315,5,@pritty_money bruh already got a nigga waiting on him like this: https://t.co/CRv7jrtlqG
316,5,@RuckTRasty I’m no redneck https://t.co/tBcXdoxtcs
319,5,Nigga said 2-3 more championships https://t.co/2LqkqI46UJ
321,5,@S1NJ_ @iLLeYYY Big black nigger https://t.co/tWGi7L0sk6
323,5,"@___d0minique My mind was racing and then I thought ""this nigga pulled an us on us"" https://t.co/KcqAPeILG3"
328,5,this nigga on house hunters chose an overpriced house boat over a penthouse with extra space and on budget https://t.co/ReNKtjrR2B
333,16,You identify as an anti-SJW? Not to be rude but.... SUCK. IT. (That felt good) https://t.co/YCUs9dzH9h
337,5,Miss my nigga 🖤🤣🤣 #HOESAINTSHIT https://t.co/rZX2ha00wn
339,5,Me : smiles at phone Le Parent nigga : https://t.co/SfZp2262KN
342,5,@Pablo_pow Damn nigger https://t.co/uaIfg66tuj
344,5,"Swear to God this nigga tweeted this one RT @UberFacts: Today, October 19th is Evaluate Your Life Day. https://t.co/9x25Rki2YC"
351,16,A cunt getting what they deserve. https://t.co/HEBuGjw5da
352,5,A real nigga birthday 🥳😎😬 https://t.co/EkFMwW17tc
353,6,I wonder how many brie larson is a dyke tweets did Brie see while searching her name on twitter https://t.co/5INclAY9dL
358,5,@OfficialDeeTV @Odd_Creations MY NIGGA WASSUP?!?! https://t.co/4roNHdeWCI
359,6,They really got Keke Palmer out here playing a dyke. I’m fed up. https://t.co/VbrJYGMLj5
367,5,“I know you only started following her caus you seen me tweet her first nigga” https://t.co/m9liog5SYj
370,16,@driamarie_ It Spells CUNT Either Way-&gt;&gt; https://t.co/6mnCy0bw2y
372,5,My Caucasian teacher when she said nigger:  https://t.co/vmkwF5x5Mu
377,5,Lmfaooooooooooo this nigga a lame dog https://t.co/ZbWfHO2zai
381,5,Lmao dead ass  RT @TAYWILL206: DT gave him that “alright lil nigger run a long” shoulder tap at the end fam 😂  https://t.co/7bli4JLdyc
382,16,Watch it: https://t.co/ViKOfo7QGg Latina MILF Eva Angelina in glasses gets her cunt licked and banged... https://t.co/zUi9yvktsK
386,16,@norvina1 This cunt https://t.co/WI86dIi1WK
392,16,@isee_nocomp That bitch shot you AFTER screaming that nigga broke her heart 😂😂😂😂😂😂 https://t.co/3UN9p7ae67
394,6,What am I?  An idiot asshole?  Somekinda  faggot Indian in a  teepee?  Barnt.   ..  .. https://t.co/A5A1hg3X2i
400,6,@TheUnwantedFool @Ninja Don't be a faggot https://t.co/rPazKN2Uyo
413,6,"@silkcigar The fact that you started ""on some faggot shit"" https://t.co/pqW1u4yfs5"
414,5,Nigga WHAT?!?! 😂😂😂😂😂 https://t.co/KgrPjMqgHR
415,6,Imagine being a big enough faggot to get a haircut like this.... https://t.co/yLFcUBGrts
416,16,"Why, thanks for giving me FUCKING NOTHING WITH THESE QUARTZ AND TICKET F/GO YOU STUPID CUNT https://t.co/P087gzij4z"
428,6,@hrtablaze @realpietretief But he sucks white dick #faggot https://t.co/qkmTfWSGZb
435,16,@Nuyorican202 Word my nigga https://t.co/xDcyZuPSoG
437,5,Link: https://t.co/HHWfs4Zq0Z https://t.co/JIIjnNQJHz
438,5,@LuMaricane Look like a whole nigga out here https://t.co/xMp2Rt1K2u
442,5,"Yoooo’ i’m really that nigga , tho 😂🤙🏿 https://t.co/SmzX1ECuff"
444,5,Nigger it is late https://t.co/qeI5YQfODo
445,5,@Megan4MAGA @bonniemurphy Talentless White Trash. https://t.co/OJXJGIxpgQ
447,5,@CarrieKHutchens Bubba &amp; Hillary Enjoyed This Halloween Kirsten⁉️Ignorant White Trash🤢 https://t.co/c29c6y6pH0
452,5,@advisabIe @Jaybinooo @Vossiy_ Fuck that jaybino guy man kids a cunt fucking bino shit fuck https://t.co/TjYJK7aQml
468,6,@crolacy I want to be a faggot for Halloween https://t.co/GmHpVj0CeM
469,16,Nicest cunt you’ll ever meet💁🏼‍♀️💁🏼‍♀️ https://t.co/BLpkhtGUnf
474,16,https://t.co/AIIfCMTRim   [JAVHD] Rei Kitajima in fishnets is nailed in hairy twat during blowjob https://t.co/1NSUX8kZM3
479,16,wife's stretched cunt https://t.co/XUFscnnJIr
481,5,My nigga was talking https://t.co/SVEBd90owm
482,5,My cute lil hillbilly 😍😍😂 #GatlinburgTN https://t.co/C2leESH3hT
490,16,@SchmeckleTV Penis =/= tits. This is what we see instead of tits. Abs and chest. Fucking retarded feminist logic. https://t.co/pQAfY5C40f
493,5,@americastrash nigger. https://t.co/poW9xrVpEy
495,5,“Aye hold this nigga real quick!” https://t.co/FJ7rx3Ocv5
497,6,didn't get called a faggot today https://t.co/gLfZowcH7q
502,5,@_DomoWilson1 I dare you to send a nigga 500 https://t.co/HttimHnpkV
505,5,What happens when you wear a tie to Hillbilly Night! #ThisIsOhioFreemasonry https://t.co/pNPpTXxQim
506,6,@Dicky_turpin @BigBadJim007 Yer you faggot. https://t.co/0BpWsdRWfz
516,6,Full did nerdy FAGGOT beta whiteboi.. Fucking own me https://t.co/CJsgOD24VM
517,5,@UglyJu @ABagOfHotFries @TeeeOonnnn_ Get out my mentions nigger https://t.co/tUce0Quqxq
518,5,I can’t C D’s nigga’s 😎 https://t.co/JuC5mFZmJk
519,16,Went for dinner tonight somewhere that took our coats on entry and I feel like a mega classy cunt https://t.co/tLPHrgSDMr
520,5,@Ivoryneshia1 @TweakBoxApp Try again broke ass nigga 😂 https://t.co/k5QNMVhKeb
526,5,I’m pairing this sparkling wine with hot cheetos like true white trash https://t.co/q7UQMrFDIZ
527,6,"@sxane96 I hope you came in the right way too, faggot 😘 https://t.co/CScJnzwPsJ"
528,16,The Full Gallery: https://t.co/HjR30YBIbT MILF babe with huge hooters Veronica Avluv exposing her juicy cunt... https://t.co/PYRNhtPFlv
530,6,this kid keeps ssying faggot uhm https://t.co/fGPzQIcptD
531,5,@svdkenie It’s always that one nigga https://t.co/S4QFKC2f0z
536,5,Like dude imma nigga myself https://t.co/r0DAssFQEA
543,6,she looks so fuckin hot oh my gOD i want her to spit on me as she calls me a dyke https://t.co/Wrsdor9E2m
548,5,We gotta seen this nigga again soon https://t.co/KGoJOxOBb1
553,5,@A_Young_Padawan A nigger!! 😂 https://t.co/Py3S1z8dWp
565,6,"A ""tired and going to the store but with big dyke energy"" look https://t.co/lrI0pclw8D"
567,5,@MrJeromeTrammel White on white crime.  Trash on trash crime. https://t.co/wSxFV2ZEO2
569,6,Big Dyke Energy in this household ☠️ https://t.co/D6KTgfqGJo
572,5,When a white person likes a tweet you said “Nigga” in knowing they had to read the word in they head https://t.co/L6tihLeRop
573,5,nigger  #MyTwitterAnniversary https://t.co/hZODa7yV2P
578,5,Redneck Facebook is incredible https://t.co/uSe3YaeCY2
581,5,Nigga tried to tax me $200 for an ounce... https://t.co/QxybFG495O
590,5,My Chick rock a bigger Gem nigga...Cause she was there when it was dim nigga https://t.co/JZ1aPi58tX
591,5,@DarknBoujee Reach?? Nigga... https://t.co/FLP7sGZB2w
595,5,“ entertain me “ NIGGA GO READ A BOOK https://t.co/t7WmSnffyq
596,5,I am nigger https://t.co/UfGwarNhjn
597,5,@DremTGI (.40secs-45secs) so maybe I'm trippin but I'm hearing dat harrrrrdddddddd ER in nigga. https://t.co/6okTeUmuBr
601,6,my dyke-o-meter rn: 🚨🚨🚨🚨⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈👭👭👭👭👭👭👭👭👭👭💞💗💝💘💕💝💗 https://t.co/MOrkSDhO3k
602,5,I love when the nigger basketball association features fights it makes me smile https://t.co/ywmP3zufTL
603,5,@AishiaDeal Meanwhile the new nigga https://t.co/da4mnmhh8t
604,6,"@cammymeek happy birthday to the worlds biggest faggot, hope u have the bestest day, love you lots n lots🤩💞 https://t.co/7mppKoO6dA"
621,6,@macosva LMFAOOOO YOU LOOK LIKE A CONFUSED DYKE WHO JUST CAME FROM BOOT CAMP 🤣🤣🤣🤣🤣🤣 https://t.co/VgVrVdFGVf
623,20,Why Muslims to Pay for the Holocaust? | Veterans Today https://t.co/kPQCuHHhWQ #BanSharia #StopIslam https://t.co/jkzmyu0Bg6
628,5,"@TreyGatlin @p0is0n0uz_ “AYE YALLLLLLL, THIS NIGGA LIKE TOES!” https://t.co/KzaqZSL5pd"
630,6,You mess with a dyke once and you will feel her wrath forever fjdjd https://t.co/dB1FHSsb2P
633,5,"@Barakavelli2 I got your nigger, nigger https://t.co/iWaXkE0Tb9"
638,5,@SemiloreOlusa @verybigsquash Nigger https://t.co/Sq6F0Uyhti
641,5,Nigger🧔🏿 https://t.co/LRnI6hdveY
642,6,@insthezone @Wixdwitxhh @cannbicht okay so I can run around saying dyke? https://t.co/c0XhlIT6TK
643,5,This nigga really told me “go vote before yo dumbass catch a felony” https://t.co/KWegPeauUH
645,5,"Apple Music some else, BUT NIGGA, when I go to YouTube..... https://t.co/vFeQjhql5T"
648,16,Stay in Spain with your trotters up you country fucking twat - https://t.co/LMNdNkr99D https://t.co/CffreHV71d
650,5,@ianharris Every nigga in New York after feeling the disrespect from that Milly Rock.... https://t.co/KCI6kFvgrP
653,16,Street Sign Making A Right Twat Out Of Him https://t.co/T1XKRKaqBW
658,5,@GuruJeremy__ Nigga can't even log into Twitter during the day https://t.co/zgRxLJBEWq
666,5,Comedian Brent Terhune becomes a redneck to look at society https://t.co/4ZjNglAcbx https://t.co/oxSkUKocvf
667,5,NIGGA MY FAV YOUTUBER LIKED MY COMMENT @berleezy IMLIKEEEEEEE https://t.co/AMKXWS8Rnv
670,6,@kalynsantanassr @MissxUndeniable Dog ass nigga smh. Ari winning anyway https://t.co/UJVfxD4sX7
671,16,Massive fan of photos that make me look skinnier than what I actual am. Still an ugly cunt mind. Any takers?? https://t.co/gunSiKd5mT
675,5,@MinearSgt @AndrewYang Oh shit nigga you just posted cringe https://t.co/I1h5q4NPO5
686,5,Fashion or white trash...? 🤷🏻‍♀️😂 #mylittle #twinning #besties https://t.co/oVKy7i7EBo
687,5,@joeyneverland no nigger https://t.co/fV3Gb2HhPJ
688,5,YOUR KIDS WANNA SEE YOU BUM ASS NIGGA https://t.co/XDex5RL1NK
689,6,It’s not going to suck itself faggot. https://t.co/udoflCntA3
696,5,@IphenduleJ @CrackConoisseur Nigga please https://t.co/ljDBkJoKms
697,6,Straight Men Use Faggot for Amusement! ......  See this and more at: https://t.co/haspDsb9qv https://t.co/Xst7SKTZ7r
698,16,yes i’m getting emotional about my friends trying to call me a demon cunt in my target language https://t.co/UHWL8NDvr9
700,5,This nigga gon tweet “damn everybody’s birthday is this year “ https://t.co/qNaQLNo8pC
702,5,Happy birthday to my nigga Javon!! @JavonG_811 https://t.co/6r8szOMX6c
708,5,🗣🗣🗣GO GET MY FUCKING WIG NIGGA!!!! https://t.co/TdcLinExcv
710,5,When you get called a nigger on Red Dead Online https://t.co/AnV5GxGN9R
715,16,@harrymargot you can’t use british slang against me u twat https://t.co/cBNchUhiwz
716,16,@realDonaldTrump What a cunt! https://t.co/cPk9WrPObY
722,16,Where would u rather lend a hand (or mouth or cunt) - left or right? 😈🤔😈 https://t.co/N55HXbDVDC
727,20,@10NewsFirst This is why he stands by his comments!Nothing ‘right wing” about it! its FACT! #banislam https://t.co/d9hkVDWL5u
729,5,I’m available now.  https://t.co/JOUIW8lOxj #kik #lust #bikinibody #mirrorphoto #hijabiba #nigger #weezmoney https://t.co/McyF9f3FRr
731,5,@vonn_duke never nigger https://t.co/5XXwhAQ5Al
732,5,"Oprah is a house nigga, she will give some of her scraps to the niggas outside to save face but that's about it. https://t.co/ud8O7Fpj12"
733,5,@JefftheDrunk1 Was your shitter clogged? White trash piece of shit. https://t.co/yIhGbfJgKe
735,16,@richards_leon You miserable twat! 😜 https://t.co/LAwvMgX27J
736,5,@Tsadiaaaah But I’m YOUR nigga https://t.co/Pkd8LOO6MP
739,6,thid is how a dyke sits https://t.co/eQwVDUPIjc
740,5,@mayaIexi A whole twitter nigger i- https://t.co/Bo3UHQpnTz
745,5,Mexican niggas when they hear some nigga say 6ix9ine is trash and deserves to stay in jail https://t.co/EOJsyPAxgP
754,5,@BasedSanjay nigga madara not even touching videl https://t.co/PZeJjh3X5o
760,5,@BarrymfJ @InDHayesWeTrust @Jayy_Ayeeeee @MaquelS Nigga who? https://t.co/cO1ORMcIU3
763,5,"The issue was but naw, it must be cause a nigga hurt me. Not the words I actually gave you. Aight https://t.co/VtA4Mb6dSf"
768,16,"Eddy would walk into that Newcastle team, enjoy the championship next season 😂 cunt deleted his tweet @andymichie_ https://t.co/sjrFKdbSxz"
775,6,"poppy really went off, making a faggot anthem https://t.co/sZWOEwUNny"
776,5,@frostedlipgloss @thekittydairies Threw a nigga tantrum! https://t.co/gR20O6jkld
778,5,“Take your broken wings and fly away.”  Nigger.... just... how? https://t.co/PjrHK0bkN1
781,5,@ryanstoopid queen dyke https://t.co/JJ0XBlkkbn
783,5,@saucecustillo @_cheltmelt called me a nigger in scooby doo? bet https://t.co/B9eClGmWtK
790,6,@unshookth take it back... FAGGOT https://t.co/V5phQBFwvk
795,5,Skyf cool nigga sauce nja'yam @ASAPSHEMBE ? 😭👌  Cav the boy ⬇: https://t.co/5oniqcqxdh https://t.co/rQcJjbIjun
798,16,"@claairrex Happy birthday u crazy cunt🤪 Hav to celebrate soon, miss ya!! 💕 https://t.co/6EIlr3Ut1X"
799,16,"definitely comic. HAHAHAHAHAHA ""and then there's this cunt.""  LOLOLOLOLOLOL #mirth #giggle #grin #cute https://t.co/9C3AXmGMlI"
800,16,@heyugotdrugs @TheAJayII @cyrus_luka @damilkymilk And Ariana white widda tan. What about it cunt https://t.co/2GRHtk1wEC
801,5,*Nigga drops a 20 dollar bill* Everyone: https://t.co/5XG2npDE8R
804,6,"Dyke on the right, Ijselmeer on left, 19 m wide man made bund 🇳🇱 along with GWChina visible from space https://t.co/94ODBZ2xO3"
807,6,Just sold a #clip! Beginner Faggot Test #CoercedBi Get yours on #iWantClips! https://t.co/9j0CM7qVrD https://t.co/a1ZQZKtYh1
811,6,no offense how does anyone find this attractive his outfit called me a faggot terrorist https://t.co/qBSUGEFjRI
821,16,Our after-threesome morning tea.  #bdsm #cunt #whore #slut https://t.co/zQhoFM2e0o
823,5,"That nigga look like Rick Ross when he opened the door, all hat huffin and puffin   #UsMovie https://t.co/xHb4T1DKQu"
824,20,"@consmover @GartrellLinda OBAMA IS A MUZZIE, MUZZIES HATE THE JEWISH PEOPLE NEXT QUESTION! https://t.co/6Y6XAzYrqp"
825,6,@GenCrupt You absolute faggot https://t.co/PZYBPjrvO7
829,16,"""69 each other my husband blows my cunt &amp;amp; he throat fucks me""  https://t.co/8vzRwEUAHR https://t.co/niVFY785ZU"
831,5,(NPR) Why It's Still #OK To '#Trash' Poor White People : A lot has changed in the U.S... https://t.co/r0N21euGzt https://t.co/7EH77GAvRJ
834,5,@Mamilippz you not even my nigga &amp; I’m waiting for a respond like https://t.co/amaZAktIed
845,16,Come on!!! Vote to EVICT the blonde twat ... Lewis G! #BBUK https://t.co/8EEMTH88pT
848,5,@KevinJacksonTBS Another one just got his wake up nigger call...SMH https://t.co/tCYH3H1EjN
855,5,This nigga Prince and Bobby definitely got something going on. @loveandhiphop #loveandhiphopmiami #LHHMIA #vh1 https://t.co/YlUzPzPJhq
860,5,@samuelt239 @LiLJaYMaKin @BleacherReport @GetUpESPN Nigga what https://t.co/n4dpSfZmZx
864,5,imma need y'all to stop sleepin in my nigga tho https://t.co/NqOZsD5tYW
866,5,NIGGA PLEASE https://t.co/Thh5a8nbUF
867,5,Bum ass nigga🦶🏿 https://t.co/thTupmVoxV
874,6,@VanquishFRx this is you faggot https://t.co/iqtPjhfEG4
880,5,“Y’all made a nigger a president ?!” https://t.co/NMTSPlyqHp
884,6,Gay retard larps in the woods https://t.co/J41WEGAuPq
886,5,AW SHIT THIS NIGGA WITH WITH THE SHITS https://t.co/5p8l2zD1Ik
887,6,@Botshelo4Life @HKinyango @Afrojonez @officialodirile Delete your account faggot https://t.co/nhhwVtJi60
891,5,@mysticaaalg Side note: lol no fine nigga should do that too me. https://t.co/xWqLk9AKS3
895,6,great public faggot @YNGMSTR_CGN exposed.  #faggot #bitch #gay #exposing https://t.co/BUHraG2flY
896,5,@reese001_ Ignore the nigger John..... sigh ignore the nigger. #niggerupfishtown https://t.co/dpbMs6isJw
897,5,white click after copying and pasting that meme with spic and wetback in it and then apologizing https://t.co/pcYw3LJFx2
899,16,Watch your mouth or i might go full retard genocide on your ass again https://t.co/LZ178QZHCj
901,5,When You See a Fat Nigga Fuckin  A Double Big Mac https://t.co/h452l9QsLX
906,5,A nigger so different https://t.co/a0IgMaEzl6
907,5,This nigga can’t be stopped no cap 😂 Yb hard but he ain’t fuccin wit Kodak 🎯 @GGYOUNGBOY https://t.co/cSFI0ARyKe
910,6,Let's get naughty tonight? https://t.co/9Drqyn8bjF #titties #estellaseraphim #faggot #femdom #hoes #desk #master https://t.co/JEiYTTeoUB
912,5,Real NIGGER DONT fall IN luv we stand up IN it 💯💥 https://t.co/AOuzMge6TB
916,6,fucking crusty god damn faggot😭 https://t.co/lVT3ht5M3z
928,5,It's just some bout men in suits. Lemme see my future nigga inna suit it's over 🤤 https://t.co/OWPtMnmPZo
933,6,Faggot https://t.co/M0zcxaKzUq
939,16,"""Oh fuccckkk nigga!"" https://t.co/ESJqmCQsgX"
945,5,how long y’all gon keep praising black behavior from non blacks then pulling the reverse race card?? i’ll wait https://t.co/DwW8LfN9jy
947,6,Straight Men Use Faggot for Amusement! ......  See this and more at: https://t.co/haspDsb9qv https://t.co/nFnkfgdaDo
948,5,Nigga fish https://t.co/lWk3LowwxI
949,5,Not shit cuz a nigga bored https://t.co/Le301h9a8s
950,5,@McKenzie698 I know white trash when I see it and.... https://t.co/mFFFbeaCVi
952,5,living my best life without the main nigga that said i couldn’t live without him🤪🖤🤤 #SpringBreak19🔥 #MiamiTakeover🌴💦 https://t.co/XPlD3W8R2i
953,5,yoo how can this nigga make music if his ears is so small https://t.co/1P1xnsUJFM
955,5,“GET OFF YO ASS NIGGA PUT YO BUSINESS FIRST !!! “ https://t.co/COP4iBkTHy
957,5,Nigga 😂😂😂😂😂😂😭 https://t.co/tg1r1PmTap
963,6,Orbits: Vote in STARPASS you fucking faggot... Me: https://t.co/qkDmLZ6isk
965,5,UH THIS IS A NIGGA https://t.co/ui21G1NL8V
968,5,REAL NIGGA HOURS https://t.co/LX3doxvU7r
969,5,Y’all this nigga talking bout he wanna have a baby. Wth might I have gotten myself into https://t.co/LlkXZ3BR9g
972,16,#sissy faggot https://t.co/Ugf1MAGwnw
974,5,YEA IM HORNY NIGGA KEEP SCROLLIN https://t.co/2ai77626IL
975,5,"young nigga cold, think it’s the rollie, 24 shots in my glock call me kobe https://t.co/IZiBdslhuJ"
