,class,text
311,13,"#ShameOnICC  ICC is earning billions from this event, but at the management level they performance is zero. Even a small company manager can handle such events more efficiently then ICC. https://t.co/GA1Quubpm2"
312,7,"@snb19692 @suehard @ElspethElspeth @jane_janekeane @LisatheSimpson You do know that #Dickhead. alias Steve Bray, is making a fortune off of crowd funding ?"
313,1,@realDonaldTrump TRAITOR  #TrumpIsATraitor https://t.co/Ip9XqS0U3c
314,1,@realDonaldTrump @foxandfriends Pete Hogsbreath is in Dotard Donald Trump’s club for Adulterous Daddies! #Adultery #TrumpCrimeFamily #TrumpIsAFraud #TrumpsAnInternationalDisgrace #TrumpIsATraitor @foxandfriends
322,1,@realDonaldTrump @USArmy Trump is a piece of 💩 Well I was serving proudly he was playing Captain Bone Spurr’s at Studio 54 in NY Spending his Daddy’s money 💰 prowling for women like Ivanka And Melania The Purple heart he has he took from a veteran and stated that was the easy way to get it #fucktrump
324,1,@realDonaldTrump It's not a presidency it's a Trump crime spree. #TrumpIsATraitor https://t.co/bTrSZhAh0R
334,1,@khanamad999 @MoeedNj @GVS_News how this #porki country produce such rectums ?  surgical strike 1  surgical strike 2.0  #balakotairstrike   #F16 down  shamelessly returned capture pilot in 24 Hrs (that to announced by the #jihadi #pm #imranhataomulkbachao )  now on ventilator of #bailout package from #IMF   way to go.
337,7,"Fuck me, do we really want the idiot @BorisJohnson in charge of the country when he can’t even function as a mayor? #inepttoryparty #generalelectionow #torysout #BorisJohnsonShouldNotBePM https://t.co/hKacQXhxYC"
343,1,@JohnCornyn @txlegion @TexasBoysState Did you tell them How you voted to repeal sanctions against Oleg Deripaska and Rusal? https://t.co/BODxwbfvww Cant wait to Vote you out! @mjhegar #TraitorTrump #TrumpRussia #ReadTheMuellerReport #TrumpIsATraitor #TrumpCriminalInvestigations #TrumpConcentrationCamps
348,1,"Have to say, a great benefit to having a known pathological liar as president is when he tries to start a war, no one believes him #TrumpIsATraitor"
356,7,"innocent people, especially those in a drastically higher power bracket, DO NOT PAY! let's face it: #bryansinger is a fucking #RAPIST hollywood has enabled him to prey on young men for DECADES #rapeculture hope karma comes for him and his enablers https://t.co/5S2HKuXeZK"
358,7,Don’t think #Celtics and #NBA beat writers understand that the fans don’t want Kyrie back and didn’t want to trade the world for a one year rental. Davis going to LA with them giving up major haul is a sign of relief for Celtics fans #Dickhead
360,7,"The way things are going, @stormzy ‘s line ‘F*ck the government and F*ck Boris’ is more relevant than ever! 😩🤣 #BorisJohnsonShouldNotBePM"
371,13,"Its a shame when #antimuslim #Islamophobe @realDonaldTrump is attacking @SadiqKhan, @georgegalloway has to behave like this.... #istandwithsadiqkhan #WeAllStandTogether https://t.co/iYbNeeSXaO"
372,13,"@funder Am I the only one who feels like it’s no longer a question of if #TrumpIsATraitor, but rather if Republicans are still Americans?"
378,7,@BradKemsley Cheers for the unblock to tweet that... You’re a dickhead as well 👍🏼👍🏼👍🏼... #Dickhead
379,13,"'Well, even his “friendly” Fox &amp; Friends were on him about what he said originally... he had to backtrack...   He is a very dangerous man.' #TrumpIsATraitor #TrumpResignNow #Trump #TrumpFail #TrumpDerangementSyndrome  #TRUMP2020Landside #MAGA #Trump2020 #TrumpTrain #TrumpTrain2020 https://t.co/e3OpRi7jmH"
384,7,@stonecold2050 Keeping it all in the fucked-up family.  #fucktrump  #fuckallthetrumps
389,7,Because this administration isn’t already doing enough to kill things beautiful and pure to diminish this planet. Fuck you @realDonaldTrump #FuckTrump https://t.co/cmMyalF4lT
390,7,@MusiicTown @ShivaniPatel23 @AmaalMallik Change your name to 'Amaal-Armaan' fanpage  Begging attention from their school going fans to get RT's and followers lol    Chutiya samajh rakha hai logo ko?  #Douchebag
391,7,@thephotoist Sick motherfuckers! &amp; #FuckTrump
392,7,"If I try to support you, but you just be an ass in return, then fuck you anyways. because I don't like asses regardless of who they are. also #AbolishIce #fuckTrump"
393,13,"#Rangzen people, we have to stop this fake activist troll from ruining our #FreeTibet movement.     #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #BhoRangzen https://t.co/Hs54Goqis7"
396,7,"Seriously, can we just get rid of this dumbass already??  What does this pos have to do before we impeach his ass and see him off to prison??  #FuckTrump #TrumpIsADumbass #NotMyPresident https://t.co/N2oqsWgVe6"
397,13,Proven that @MamataOfficial is in support of terror mob and in favor of changing demography of Bengal. CM is zaddi and same working like Hitler. #DoctorsFightBack #BengalDoctorsStrike #hitlerdidi  #MamataLosingControl #MamataBanarjee #mamtafrustrated https://t.co/hKZGxr3lUo
398,13,"#DhoniKeepsTheGlove   #DhoniKeSaathDesh   #IndiaWithDhoni    We need to understand ICC rules correctly    It can only allow terror sponsering countries to play,   but not the Army insignia."
399,7,Just watched this guy spray the crap from his curb to the curb of his next door neighbor.   #DickHead
400,7,@MathiasCormann But #LNP have a 'mandate'? #dickhead
401,7,Holy Sh*t between @LewisHamilton and @MBrundleF1 I don’t know who is the bigger #douchebag #CanadaGP
402,13,@CNN Disgusting! And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter
405,7,@realDonaldTrump Resign now motherfucker! #IllegitimatePresident #DouchebagDonnie #shitgibbon #pedophile #rapist
406,13,"If that Bengali Jihadi $lu7 catches any illness, no doctor must treat her. She should suffer from non-treatment and face consequences! #DoctorsFightBack #DoctorsUnderOppression #DoctorsProtest"
409,13,"@realDonaldTrump You literally admitted you’d commit a felony to get elected.  Barr, if he actually followed the law, would have arrested you.  Stop harassing America.  PS: We all know Iran is innocent and you are just trying to distract from your latest felony.  #TrumpIsATraitor #TrumpColluded"
415,13,"@BorisJohnson is not a harmless buffoon. he is a cold, calculating, vile man who uses his persona to get away with  his racism, homophobia and elitism. Oh and he’s soon to be our new prime minster, help us all  #BorisJohnsonShouldNotBePM #borisjohnson     https://t.co/ZfozJi2t8d"
418,7,@KimKardashian #trump2020 #fucktrump  Maybe you can hire the ex cons to perform with you in your sex tape enterprises.    Dog Vomit Trump and his porn star presidency.  Horseshit. https://t.co/qKHEfvp5qQ
420,13,"@realDonaldTrump I'm 'OK' with it!    Christopher Steele was so concerned about what he was finding that he contacted FBI, right?!    That's what the TRUMP CAMPAIGN &amp; TRUMP FAMILY SHOULD HAVE DONE!    #TrumpIsATraitor  #TrumpMustGo"
421,13,@Comey I am crushed that no one is calling attention to the lie that @hogangidley45 told about #JamesComey being a convict!!!  See the short clip to confirm that #Trump Administration is lying.  #TrumpIsATraitor #TrumpResign #TrumpTantrum #WhiteHouse https://t.co/BNpZLCBQpE
422,13,@TheRealOJ32 You belong in jail and then in hell #murderer #JusticeForNicoleAndRon
424,13,Don't know y no rain in England's match . Does this #WorldCup2019 is fixed ? 5th match of England but no rain or a drop of water in there games 😠😠🤨 . I think that @ICC and @ECB_cricket had fixed the #CWC19 for them .  #ShameOnICC   #ENGvWI   #ENGvWI   #TeamIndia   #INDvsPAK
425,13,Fact One  @RoryStewartUK and #BorisJohnson attend Eton and Oxford  #RoryStewart becomes Foreign office Diplomat awarded OBE for services in Afghanistan  #BorisJohnson becomes Times Newspaper Columnist sacked for deception  #roryforleader #BorisJohnsonShouldNotBePM
436,1,Following OJ Simpson would be entertaining but I dont need to follow a murderer sociopath when people like his tweets and he's automatically on my TL. He is crazy! Just saw him rambling about Kloe K. Damn why isn't he locked up😞 #murderer
442,1,"Boris isn't even PM yet but he is already destroying trade with the EU and enriching his friends - We know what type of Boris we will get - Inept, indolent and offensive - a UK Trump without ANY of the economic firepower Nutter!  #BorisJohnsonShouldNotBePM #BorisJohnson https://t.co/VxyettyYXQ"
454,1,"@GOP @realDonaldTrump He’s also lied, cheated, committed crimes against America, broken emoluments laws, nepotism, spread his corruption, conspired with Russia, and banked millions of our tax dollars while you dumbf**ks cheer    -You have become his accomplices   #TrumpIsAFraud #TrumpIsATraitor"
457,7,@brianstelter @OANN I went looking for dickheads this weekend and I found you.  #douchebag
499,7,"A lip reader has reported what Trump was saying to #theQueen - 'In fact, your Royal Majestyness. Mine has been confirmed by historians to be the biggest dick of all the American presidents. True, the biggest &amp; the best...'. #POTUS #Trump #dickhead #Diplomacy https://t.co/D8RK6hPqmX"
504,7,"Fifteen AGs slam Trump move to limit federal authority under Clean Water Act https://t.co/77ey0b1CqD    Trumperrhoids like their swamp deep dirty and toxic.  If you are downstream from a Trumperrhoid, fuck off, they don't care.    #fucktrump #trump2020"
533,7,Seriously what the fuck is up this his hair line that shit is disgusting I hate this motherfucker #fucktrump #ImpeachTrump #trumparacist #hishairlinesucks https://t.co/uJ27ePDmIe
561,1,"@realDonaldTrump Since @realDonaldTrump is the BIGGEST deadbeat fraud, what he calls a fraud is what the rest of humanity not kiSsing his rectum calls #TheTRUTH. And we ALL know Trump CAN'T HANDLE THE TRUTH! #FuckTrump #ComradeTrump #PutinsPuppet #CadetBoneSpurs #MakingAmericaGarbageAgain #MAGA"
580,7,"Well I would Rory but my MP is anne-marie trevelyan, the opportunistic bitch that is running the fuckwit's campaign.  What would you suggest I do now? #BorisJohnsonShouldNotBePM   Some good will come of it though.  The tories are finished... https://t.co/KCQ0eF3xhP"
589,1,@tonyposnanski @PressSec @realDonaldTrump So well said. I totally agree with every word.  The White House is full of corrupt habitual liars.  #FuckTrump and his pathetic puppets.
600,1,@_Mansoor_Ali Such a hypocrite and liar you are Mr. Selected PM @ImranKhanPTI.  Why don't you accept you failed miserably in past 10 months? Stop crying about past. Show progress or go home. You could not achieve any of your 2018-2019 set goals.  #imranhataomulkbachao
603,7,i screamed into the void listening to Maddow this morning and the clips of that asshat saying he would gladly take foreign help. like we don't already know. so yeah. i'm fucking angry too. we're all angry. and we fucking should be.     #FuckTrump https://t.co/R4bfOiEHws
623,1,AMERICA NEEDS A NEW PRESIDENT ASAP. TRUMP IS A TRAITOR. WILL ONLY GET WORSE! @realdonaldtrump go off and die like an old diseased riddled dog you ARE YOU ABSOLUTE POS #ImpeachTrumpNow #trumpisatraitor #trumpisadisgrace
627,7,"@realDonaldTrump 🙄🤮🖕🏻Fuck you.  YOU are the reason this bill was delayed for so long, because YOU did not want to give Puerto Rico any more help. #Asshole.  #fucktrump #impeach46 #assbanana"
635,7,Tommy is spot on I didn't think he had it in him also fuck off curtis #dickhead #LoveIsland
651,7,#fucktrump and fuck all his racist supporters too!! https://t.co/XwtycvxMIT
654,1,"@senatemajldr WE HAVE BEEN WAITING FOR @realDonaldTrump IMPEACHMENT.   YOU'RE A TRAITOR,  TOO.    #FUCKTRUMP #AMERICANSFORIMPEACHMENT https://t.co/FDs4U53nTj"
658,7,What a fucking idiotic thing to do! Threaten proper journalists for supposedly being biased while working for one of the worst disinformation newspapers around! #Dickhead https://t.co/kP77Mv931Z
676,1,Just a daily reminder to @realDonaldTrump  that he is a National Disgrace.     #TraitorTrump   #TrumpIsADisgrace   #TrumpIsATraitor https://t.co/O09IV9NZGf
758,7,.@derekobrienmp   Quizmaster... A quiz for you.  Ask your moronic boss to solve n behave  @PMOIndia  @timesofindia  #DoctorsFightBack   #Kolkata  @AITCofficial  #India https://t.co/bP6f9lSNy8
791,1,"@UxbEconomist07 @GuidoFawkes @BorisJohnson @Conservatives Remain know he’s bad, he couldn’t win an election, he’s atrocious. Remain Tories trying to hang on to their dwindling influence. #borisorbust #BorisJohnsonShouldNotBePM #borisjohnson #boris"
798,7,@RoArquette I feel the same way - if you support this corruption and cruelty F off forever! #FuckTrump
800,7,#ToryLeadershipDebate Brexit #Brexit Boris Johnson #borisjohnson #BorisJohnsonShouldNotBePM #Boris    When will Bullshit Boris be allowed to open his mouth and derail his campaign?
820,7,@ArunSFan @RahulGandhi Moron.. Wen u will talk about India.. And not restrict u r self to a party.. Think beyond party.. Think beyond congress.. Think for poor people. Think for.. Developing India.. U #@#@#.. #congressmuktbharat
840,1,@realDonaldTrump She a LIAR JUST LIKE U. U GOING DOWN SHE LEAVING U BE 4 IT HAPPENS #DICKHEAD
844,1,"Why is #fakeDonaldTrump still in a feud with the Mayor of London?  Seriously.  #idiotTrump is SUCH a petty, disgusting, failure of a human being that he seems to be incapable of letting ANYTHING go.  #dumbassTrump #ImpeachTrumpNow"
848,1,This proves that @ImranKhanPTI is the biggest hacker of #TerroristNationPakistan https://t.co/315WkNP1iH
867,1,@IvankaTrump @realDonaldTrump That was the worst day of our lives. The coward has been ruining America ever since.  #TrumpIsTheEnemyOfThePeople   #TrumpIsAFraud   #TrumpIsATraitor   #TrumpIsAMoron   #TrumpIsANationalSecurityThreat   #TrumpIsACriminal   #TrumpIsNotAboveTheLaw
868,7,"@GOP @realDonaldTrump Great, I've gotten several tickets to your show. I then wipped my ass with them and burnt them.  #fucktrump"
921,7,@toadmeister looking desperately for that attention he craves #fuckoff #shitbag #dickhead https://t.co/4VvP8FuZH7 https://t.co/JQ81mdY9Xz
943,7,How does a piece of shit like @TheRealOJ32 have followers? #OJSimpson #MURDERER
947,7,"Listening to #DerangedDonald go off on Germany, bitching about the Iran deal, making shit up about Venezuela, and how he’s always right. How in the living fuck did we get into this mess? #FuckTrump"
948,7,@flyaway_k Unbelievable. Our government actually wants you to let people die. I fucking despise trump and the crime syndicate Republican Party. It’s all just sickening! #FuckTrump #FuckTheGOP #onMyThirdBeer
965,7,@TheRealOJ32 I am so happy to have this opportunity to tell you what a mephitic shitrendous soulless ball sac you are.  #MURDERER
971,7,"Totally washed out due to that rain reason. U r fucking guys  y u r keeping this world cup in England ... I know It's a developed country , but for sports full of unhappiness..So go and sit in the room and watching Tv that's the only work u r always doing #ShameOnICC mother fuck"
973,1,"#WPMOTClassic Some things never change! Repost profthuggy What’s Pissing Me Off Today? Shittiest Person in the World, Jr. #donaldtrumpjr #donnietrump #fucktrump #trophyhunter #trophyhunting #cobrakai… https://t.co/k13HlVBqKO"
988,13,@GOP IMPEACH DONALD TRUMP.    #ITMFA  #ComplicitGOP  #Fucktrump
992,7,Fuck Trump. #fucktrump https://t.co/e47mFepfSO
997,7,#ISupportSarabjeetSingh and yeah #FuckDelhiPolice 🖕
1001,7,"@NatalieJHarp @JoeBiden @realDonaldTrump #FridayFeeling   Blaming Joe Biden?  Proves you’re truly #Deplorable.  Best of luck.  #FuckTrump, #FucktheGOP and #FuckTrumpSupporters.  Democrats have a #healthcare plan.  Republicans have a #dontcare plan. https://t.co/3lc0t6nZmj"
1004,13,@saquibIM @sardesairajdeep @msdhoni What rules you are referring? Rules of having namaz in the play ground?    We can understand your feeling.    #biasedicc #DhoniKeepTheGlove #IndiaStandsWithDhoni #DhoniKeSaathDesh #DhoniKeepsTheGlove #dhonigloves
1007,7,"yo, fuuuuuuuuuuuuuuuuuuuuuuuuuuuuck trump.  y'all's president is TRASH!!!!!!  #ImpeachTrump   #fucktrump https://t.co/QOf71Fr5rT"
1009,13,"Dear ICC, please don't forget that BCCI is your father.....    So,mind on your business....    Do better umpiring....    #DhoniKeepsTheGlove #DhoniKeepsTheGlove"
1010,13,A billion Cricket fans waited four years to watch how it rains in England #shameonicc https://t.co/n3enbfwl78
1011,7,"This is the man @JamesCleverly @MattHancock @trussliz that you think will make a great #PM for fucks sake, God help us  #BorisJohnsonShouldNotBePM #ToryLeadershipContest    https://t.co/j0GoJgY1OA"
1012,13,@ICC @ICCCAD @BCCI   Poorest management of #CWC19   Need to change venues  Please take a look of geographical  And environmental conditions  Not only on gloves.....  #ShameOnICC
1016,13,@realDonaldTrump Looks like somebody doesn't understand what Treason is.    #TrumpIsATraitor #TrumpTantrum #ImpeachTrumpNow
1017,13,#RacistTrump Retweets #AntiMuslim Extremist &amp; Gets Exactly What He Deserves #TrumpIsATraitor  https://t.co/f3AckwPFcl
1018,13,Because dictators love stupid populations- right #TrumpTrain?     #TrumpIsATraitor     https://t.co/nIwU0NJsVM
1019,13,No less than he deserves.    Boris Johnson (or Boorish Johnson as I call him) is unfit to be our next Prime Minister.     #ToryLeadershipContest #C4Debate #LobbyHustings #BorisJohnsonShouldNotBePM #BorisIsChicken https://t.co/MrwNBaXciE
1020,13,"Labour MP Wes Streeting listed on Twitter the various occasion Boris Johnson made fantasy claims, broke promises and launched expensive ‘vanity projects’ as Mayor of London. Time to fact-check Boris Johnson’s mayoralty.  #BorisJohnsonShouldNotBePM  https://t.co/5XLUpSZwdq"
1022,13,"So basically @BorisJohnson does not tell the truth. Not only does he not tell the truth, he made promises that he came nowhere close to delivering and does not seem to care. What is his motivation? It is unlikely to be your welfare. #BorisJohnsonShouldNotBePM https://t.co/LLQyqRatVM"
1024,7,"@Newsweek Uh.  No.  #FuckTrump  He thought he'd make it big, he had no intention of losing any money and if he has, it was because he exposed himself as the conman most of us knew he is. These two assholes are either conned or are conmen themselves."
1029,7,#FuckTrump  ANOTHER ONERY DEM..... https://t.co/vXVoZRATpX
1033,7,@ICC @MRFWorldwide This world cup 19 should be ban !! 😡😡 Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19 😡😡   #ShameOnICC 😡😡
1034,13,#Progressive Group Wants Dems to #Investigate Kavanaugh for #Perjury    #GangRapes #ChristineBlaseyFord #BrettKavanaugh #Rape #Rapist #BrettKavanaughRapist    https://t.co/ZBGkZDfElG
1035,7,@flotus would be better off with this: https://t.co/zkaMjVocgh @orgasmicize #pornhub #firstladydoesdallas #freeblowjobs #fucktrump #classy #resist #TrumpTantrum #JackieO #lookmomnohands #skillsandthrills #voteblue #deepthroatchampion #Disneyland https://t.co/AuuNQ02TrF
1037,7,Farewell #SarahHuckabeeSanders! Your lies for the asshole POTUS Will NEVER be missed. #GladYourGone #FuckTrump
1041,7,@PaulSaucier9 @lamousie187ss13 @IvankaTrump #TrumpIsATraitor sick f**ks
1044,13,@realDonaldTrump happy birthday you racist dumbass!!! I’m having tacos for lunch in your honor. And here’s a picture of your favorite senator. #TrumpIsATraitor #trumpsucks https://t.co/hzEJQsfmPI
1045,7,@HenriettaHumpl1 That's really clever.  Have you ever thought of writing something #dickhead #auspol
1046,13,Yesterday  Congress : blood donations are necessary blah blah blah   Today   Congress : snubbed on injustice on doctors in wb   Shame on u so called national opposition   #Thuuuuuuu #Congress #WestBengal #DoctorsFightBack #DoctorsProtest   #SoniaGandhi #RahulGandhi #priyankagandhi
1049,7,#DICKHEAD SHOULD JUST FUCK KIM JONG UN ALREADY &amp; GET IT OFF HIS CHEST ! https://t.co/0PUjtKmfJs
1053,7,When you really like a certain celebrity and then they come out as an #antivaxxer 🤦🏽‍♀️ How embarrassing @JessicaBiel #dickhead
1054,13,"@HMOIndia  @AmitShahOffice     @BCCI should be brought under GoI control. Full of corrupt, compromised cowards who for the sake of money always letting us patriots down. Failed to take @ICC head-on in this matter of national pride. Shame!!. #DhoniKeepsTheGlove"
1056,7,"NO SHIT, SHERLOCK! #FuckfaceVonClownstick wants impeachment. . .it’s more attention and he can play “poor me.”  #FuckTrump https://t.co/WIlxE9WQf7"
1058,7,This is the day that reminds the world that @realDonaldTrump should have been aborted. #FuckTrump and while I’m at it #Fuck @FLOTUS for being a whore that fucks this piece of after birth abortion
1060,7,"Sit his ass down!  Tape his fingers and duct-tape his mouth.  Then throw him in a cage with the immigrants.  Problem solved!  Such a vision.  America, Free of Trump.  Darn, I just woke up.  Dems will do nothing.  #FuckTrump #FuckGOP #FuckCivility #ImpeachmentInquiryNow https://t.co/gU8oBArfo8"
1061,13,"@BJP4India @narendramodi Oye!!!, Islamic Cricket Council aka ICC ban this thing too (watch video).    Also stop eating lays chips all the time, do some constructive work.    #CWC19 #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #dhonigloves #ICCWorldCup #ICCVersusIndia https://t.co/bxupyMATyH"
1062,7,I love you #London!!!! Thank you for your support!!! #FuckTrump #TrumpVaginaNeck #ImpeachTheMotherFucker https://t.co/tZt7n5Nngu
1067,1,Rallies will be held across #US tomorrow for #impeachment of @realdonaldtrump. Check local #grassroots for details. Prove that we do not tolerate the hatred that has crippled this country #impeachtrump #impeach45 #fucktrump #notmypresident #collusion #traitor #criminal https://t.co/DrGE3ilc6C
1071,1,"@nycsouthpaw @gtconway3d This is a standard process for all dictators to remove the free press from society. No doubt @realDonaldTrump got this from the only book he has read, 'Mein Kampf'.  #TrumpIsATraitor   #TrumpIsTheEnemyOfThePeople   #TrumpIsACriminal"
1077,7,#HappyBirthdayMrPresident?  Nope. GO FUCK YOURSELF is more like it.     #fucktrump
1082,1,#TraitorTrump just flat out admitted he’s a #RussianAsset  https://t.co/e8Uf4zVTs4  #TrumpIsATraitor
1086,13,#Icc can support a terrorist country(#Pakistan)to participate in wc tournament but they refushed a true country lover #Dhoni sir to wear his 'Balidaan' sign gloves.  #shameonyouicc 👎👎🖕🖕  #DhoniKeepsTheGlove 👍👍🤘🤘  #DhoniKeSaathDesh 🇮🇳🇮🇳🇮🇳  #DhoniKeepBalidaanBadgeGlove
1106,1,@MamataOfficial is really lost her mind n plot completely.. She has cross psychic levels to satisfy the minority as what she feels can keep her in power but sadly not.. 😏😏    #DoctorsFightBack  #BengalBurning  #SaveBengalFromTMC    @ZeeNews  @sudhirchaudhary  @sardanarohit  @republic https://t.co/KmhtnRnYAz
1111,13,"@TheRealOJ32 I know quite a few people who would like to 'get even' with you #MURDERER You did it, you admitted it, and you deserve to rot."
1115,7,This is why i love this motherfucker...    Shuts people down easily    #ArabForPresident  #FuckTrump https://t.co/nnufeKXPPn
1116,1,"He said it again, No Collusion, No obstruction. What innocent person would do that? He's guilty as sin. I'm sick over nobody doing anything about having a TRAITOR in our White House  #fucktrump https://t.co/kMHnbkirZj"
1121,1,"From a known liar and #FakeNewsCNN contributor. Great work Slimewell, great work! #DoucheBag #EnemyOfThePeople https://t.co/3poAWACg4n"
1131,1,@RepAndyHarrisMD @POTUS Let’s not forget ...    Today is #JohnMCainDay which is infinitely more celebratory than the birthday of a pathological lying corrupt criminal traitor.    #TrumpIsATraitor   #TrumpIsACriminal   #TrumpIsAMoron   #TrumpIsANationalSecurityThreat
1138,1,Imagine wishing a traitor bigot a happy Birthday....guess inbred trailer Trash needs a hobby too!!!🤔😡🖕🖕🖕🖕🖕🖕🖕 #TrumpIsATraitor https://t.co/p3Fgr0trZ8
1159,7,Either rain or  one sided games. This World Cup sucks big fucking time. @ICC @cricketworldcup #ShameOnICC #RainStopsMatch #ENGvsWI #CWC #INDvNZ #WorldCup
